"price","date"
10.9535,"2017-10-22T07:23:14.469Z"
10.9535,"2017-10-22T07:23:14.688Z"
10.9535,"2017-10-22T07:23:15.161Z"
10.9535,"2017-10-22T07:23:15.806Z"
10.9535,"2017-10-22T07:23:16.840Z"
10.9535,"2017-10-22T07:23:16.848Z"
10.9535,"2017-10-22T07:23:17.183Z"
10.9535,"2017-10-22T07:23:17.606Z"
10.9535,"2017-10-22T07:23:18.325Z"
10.9535,"2017-10-22T07:23:18.894Z"
10.9535,"2017-10-22T07:23:19.204Z"
10.9535,"2017-10-22T07:23:19.808Z"
10.9535,"2017-10-22T07:23:20.495Z"
10.9535,"2017-10-22T07:23:21.865Z"
10.9535,"2017-10-22T07:23:21.957Z"
10.9535,"2017-10-22T07:23:22.007Z"
10.9535,"2017-10-22T07:23:22.212Z"
10.9535,"2017-10-22T07:23:22.812Z"
10.9535,"2017-10-22T07:23:23.179Z"
10.9535,"2017-10-22T07:23:23.524Z"
10.9535,"2017-10-22T07:23:24.119Z"
10.9535,"2017-10-22T07:23:26.113Z"
10.9535,"2017-10-22T07:23:26.181Z"
10.9535,"2017-10-22T07:23:26.192Z"
10.9535,"2017-10-22T07:23:26.198Z"
10.9535,"2017-10-22T07:23:26.699Z"
10.9535,"2017-10-22T07:23:27.134Z"
10.9535,"2017-10-22T07:23:28.343Z"
10.9535,"2017-10-22T07:23:28.404Z"
10.9535,"2017-10-22T07:23:29.806Z"
10.9535,"2017-10-22T07:23:31.451Z"
10.9535,"2017-10-22T07:23:31.579Z"
10.9535,"2017-10-22T07:23:31.598Z"
10.9535,"2017-10-22T07:23:31.605Z"
10.9535,"2017-10-22T07:23:31.761Z"
10.9535,"2017-10-22T07:23:31.823Z"
10.9535,"2017-10-22T07:23:32.132Z"
10.9535,"2017-10-22T07:23:32.680Z"
10.9535,"2017-10-22T07:23:35.313Z"
10.9535,"2017-10-22T07:23:35.454Z"
10.9535,"2017-10-22T07:23:35.517Z"
10.9535,"2017-10-22T07:23:35.536Z"
10.9535,"2017-10-22T07:23:35.586Z"
10.9535,"2017-10-22T07:23:35.711Z"
10.9535,"2017-10-22T07:23:36.246Z"
10.9535,"2017-10-22T07:23:36.749Z"
10.9535,"2017-10-22T07:23:39.724Z"
10.9535,"2017-10-22T07:23:39.796Z"
10.9535,"2017-10-22T07:23:39.947Z"
10.9535,"2017-10-22T07:23:39.961Z"
10.9535,"2017-10-22T07:23:39.968Z"
10.9535,"2017-10-22T07:23:39.981Z"
10.9535,"2017-10-22T07:23:40.383Z"
10.9535,"2017-10-22T07:23:40.980Z"
10.9535,"2017-10-22T07:23:41.926Z"
10.9535,"2017-10-22T07:23:42.305Z"
10.9535,"2017-10-22T07:23:42.335Z"
10.9535,"2017-10-22T07:23:42.725Z"
10.9535,"2017-10-22T07:23:43.270Z"
10.9535,"2017-10-22T07:23:43.777Z"
10.9535,"2017-10-22T07:23:44.366Z"
10.9535,"2017-10-22T07:23:44.765Z"
10.9535,"2017-10-22T07:23:45.233Z"
10.9535,"2017-10-22T07:23:45.755Z"
10.9535,"2017-10-22T07:23:46.274Z"
10.9535,"2017-10-22T07:23:48.820Z"
10.9535,"2017-10-22T07:23:49.131Z"
10.9535,"2017-10-22T07:23:49.191Z"
10.9535,"2017-10-22T07:23:49.234Z"
10.9535,"2017-10-22T07:23:49.271Z"
10.9535,"2017-10-22T07:23:49.358Z"
10.9535,"2017-10-22T07:23:50.174Z"
10.9535,"2017-10-22T07:23:50.332Z"
10.9535,"2017-10-22T07:23:51.869Z"
10.9535,"2017-10-22T07:23:53.175Z"
10.9535,"2017-10-22T07:23:53.228Z"
10.9535,"2017-10-22T07:23:53.255Z"
10.9535,"2017-10-22T07:23:53.356Z"
10.9535,"2017-10-22T07:23:53.371Z"
10.9535,"2017-10-22T07:23:53.792Z"
10.9535,"2017-10-22T07:23:54.287Z"
10.9535,"2017-10-22T07:23:54.788Z"
10.9535,"2017-10-22T07:23:55.292Z"
10.9535,"2017-10-22T07:23:55.889Z"
10.9535,"2017-10-22T07:23:56.300Z"
10.9535,"2017-10-22T07:23:56.813Z"
10.9535,"2017-10-22T07:23:57.301Z"
10.9535,"2017-10-22T07:23:57.796Z"
10.9535,"2017-10-22T07:23:58.214Z"
10.9535,"2017-10-22T07:23:58.824Z"
10.9535,"2017-10-22T07:23:59.390Z"
